***
*** Digital Image Correlation Engine (DICe), (git sha1: v3.0-beta.8-11-g5ebcdf) Copyright 2021 National Technology & Engineering Solutions of Sandia, LLC (NTESS)
***
*** Reference image: /home/rspencer/moose_work/Geometry_Optimisation/sens_opt_sinh_spline/imdef/imdef_0/defimage_0000.tiff 
*** Deformed image: /home/rspencer/moose_work/Geometry_Optimisation/sens_opt_sinh_spline/imdef/imdef_0/defimage_0001.tiff 
*** DIC method : local 
*** Correlation method: ZNSSD
*** Interpolation method: KEYS_FOURTH
*** Image gradient method: FINITE_DIFFERENCE
*** Optimization method: GRADIENT_BASED_THEN_SIMPLEX
*** Projection method: DISPLACEMENT_BASED
*** Guess initialization method: USE_FEATURE_MATCHING
*** Seed location: N/A
*** Shape functions: Translation (u,v) Normal Strain (ex,ey) Shear Strain (gamma_xy) 
*** Incremental correlation: false
*** Subset size: 21
*** Step size: x 10 y 10 (-1 implies not regular grid)
*** Strain window size in pixels: 100 (only first strain post-processor is reported)
*** Coordinates given with (0,0) as upper left corner of image, x positive right, y positive down
***
SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,VSG_STRAIN_XX,VSG_STRAIN_YY,SIGMA,GAMMA,MATCH
33,7.0000E+01,1.4600E+03,1.5285E-01,-1.0300E+00,-5.3703E-05,-2.9293E-04,3.0409E-03,2.6446E-05,0.0000E+00
34,7.0000E+01,1.4500E+03,1.6440E-01,-1.0269E+00,-3.3297E-05,-2.8464E-04,3.0659E-03,2.7245E-05,0.0000E+00
35,7.0000E+01,1.4400E+03,1.7492E-01,-1.0239E+00,-6.8618E-06,-2.7495E-04,2.7242E-03,3.3377E-05,0.0000E+00
36,7.0000E+01,5.5000E+02,-3.0344E-02,-9.6392E-02,-1.0244E-04,-3.9323E-04,5.4763E-03,3.7306E-05,0.0000E+00
37,7.0000E+01,5.4000E+02,-2.8822E-02,-9.3273E-02,-1.0955E-04,-3.9945E-04,3.2231E-03,2.5074E-05,0.0000E+00
38,7.0000E+01,5.3000E+02,-2.7902E-02,-8.9650E-02,-1.1394E-04,-4.0340E-04,3.1094E-03,2.3629E-05,0.0000E+00
39,7.0000E+01,5.2000E+02,-2.7586E-02,-8.6920E-02,-1.2680E-04,-4.0455E-04,3.5202E-03,2.2827E-05,0.0000E+00
40,7.0000E+01,5.1000E+02,-2.5531E-02,-8.3071E-02,-1.3311E-04,-4.0016E-04,3.8136E-03,2.5844E-05,0.0000E+00
41,7.0000E+01,5.0000E+02,-2.7035E-02,-7.9182E-02,-1.3882E-04,-3.9523E-04,3.7505E-03,2.7653E-05,0.0000E+00
42,7.0000E+01,4.9000E+02,-2.7934E-02,-7.5404E-02,-1.4724E-04,-4.0078E-04,3.3651E-03,2.6239E-05,0.0000E+00
43,7.0000E+01,4.8000E+02,-2.7414E-02,-7.1564E-02,-1.4983E-04,-4.0469E-04,3.1027E-03,2.7175E-05,0.0000E+00
44,7.0000E+01,4.7000E+02,-2.7033E-02,-6.8285E-02,-1.4863E-04,-4.0502E-04,3.0363E-03,2.5347E-05,0.0000E+00
45,7.0000E+01,4.6000E+02,-2.7168E-02,-6.3875E-02,-1.4874E-04,-4.1245E-04,2.5795E-03,2.6513E-05,0.0000E+00
46,7.0000E+01,4.5000E+02,-2.8000E-02,-5.9442E-02,-1.5018E-04,-4.2074E-04,2.8223E-03,2.6996E-05,0.0000E+00
47,8.0000E+01,4.5000E+02,-2.9816E-02,-6.0170E-02,-1.5539E-04,-4.3024E-04,3.4613E-03,2.7844E-05,0.0000E+00
48,8.0000E+01,4.6000E+02,-2.8421E-02,-6.5187E-02,-1.5605E-04,-4.2082E-04,3.1412E-03,2.6435E-05,0.0000E+00
49,8.0000E+01,4.7000E+02,-2.8756E-02,-6.9980E-02,-1.5747E-04,-4.1411E-04,3.0632E-03,2.5117E-05,0.0000E+00
