File;TimeStamp;Force [V]; Force [N]
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0041_0.tiff;830.470703;3.17185183403104;792.96295850776
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0042_0.tiff;831.470626;3.16955005254624;792.387513136561
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0043_0.tiff;832.470925;3.17053653032401;792.634132581002
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0044_0.tiff;833.470726;3.16494648961179;791.236622402947
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0045_0.tiff;834.470888;3.18467604537542;796.169011343856
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0046_0.tiff;835.470773;3.15277993065299;788.194982663248
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0047_0.tiff;836.470856;3.34152604484664;835.38151121166
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0048_0.tiff;837.470796;3.73907693359809;934.769233399522
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0049_0.tiff;838.471082;3.88474704451927;971.186761129819
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0050_0.tiff;839.471039;3.89461183960366;973.652959900916
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0051_0.tiff;840.470814;3.89099474804261;972.748687010653
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0052_0.tiff;841.471243;3.8919812275558;972.99530688895
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0053_0.tiff;842.471251;3.89362536008355;973.406340020888
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0054_0.tiff;843.470799;3.89329653357743;973.324133394357
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0055_0.tiff;844.470686;3.89461183960366;973.652959900916
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0056_0.tiff;845.471165;3.8919812275558;972.99530688895
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0057_0.tiff;846.470953;3.89231005406078;973.077513515194
