x_pic,y_pic,x,y,z,u,v,w,exx,eyy,exy,e1,e2,gamma,evm
686,1469,-3.25299E-001,4.33810E-001,2.26899E-003,-5.67460E-005,5.40718E-005,2.87865E-003,-1.40166E-004,6.00992E-005,3.91951E-005,6.74970E-005,-1.47564E-004,7.93115E+001,1.47742E-004
696,1469,-2.42418E-001,4.33748E-001,4.42433E-004,-5.27926E-005,1.51382E-004,2.68725E-003,-5.79675E-005,8.14873E-005,4.91409E-005,9.70637E-005,-7.35439E-005,7.24127E+001,1.01269E-004
646,1479,-6.57044E-001,5.16728E-001,4.77533E-003,-7.23737E-005,1.02147E-004,2.31642E-003,-9.59360E-005,-5.23024E-005,5.24332E-005,-1.73283E-005,-1.30910E-004,5.62958E+001,1.62095E-004
656,1479,-5.74151E-001,5.16918E-001,2.29031E-003,3.29361E-005,1.15408E-004,2.83248E-003,-8.12881E-005,-8.94908E-005,-2.66719E-004,1.81361E-004,-3.52140E-004,-4.45595E+001,3.52193E-004
666,1479,-4.91261E-001,5.16872E-001,2.50296E-003,-8.92672E-006,3.16613E-005,3.78504E-003,-1.37558E-004,-1.37941E-005,-2.18512E-004,1.51429E-004,-3.02782E-004,-5.29060E+001,3.02782E-004
676,1479,-4.08552E-001,5.16533E-001,-1.06986E-003,-1.02589E-004,-3.05771E-005,2.96913E-003,-2.83650E-004,-5.85625E-005,-1.23908E-004,-3.71684E-006,-3.38496E-004,-6.61242E+001,3.93025E-004
686,1479,-3.25589E-001,5.16857E-001,-8.38146E-004,-1.50515E-004,2.39790E-005,2.74970E-003,-1.64566E-004,-5.07092E-005,-5.48447E-005,-2.85884E-005,-1.86687E-004,-6.80340E+001,2.33827E-004
696,1479,-2.42813E-001,5.16543E-001,-3.12367E-003,-1.87012E-004,1.36479E-004,3.07496E-003,-1.12611E-004,-8.97280E-006,-2.12774E-005,-4.77454E-006,-1.16810E-004,-7.88383E+001,1.37719E-004
736,1479,8.91292E-002,5.15999E-001,-3.80995E-003,-1.02199E-004,5.40128E-005,3.55546E-003,1.65439E-004,-1.11712E-004,1.56374E-004,2.35804E-004,-1.82077E-004,2.42267E+001,2.47174E-004
746,1479,1.72332E-001,5.15923E-001,-2.61813E-003,6.03389E-006,3.86488E-005,3.07235E-003,-1.87688E-004,-1.03008E-004,1.05422E-004,-3.17416E-005,-2.58955E-004,5.59407E+001,3.18925E-004
756,1479,2.55324E-001,5.16161E-001,-2.03503E-003,-2.06100E-005,-9.87067E-006,3.18544E-003,-2.50825E-004,-1.26238E-004,-9.88596E-005,-7.16825E-005,-3.05381E-004,-6.11080E+001,4.00477E-004
766,1479,3.38532E-001,5.15991E-001,2.68666E-003,-7.66294E-005,2.01469E-005,3.66766E-003,-1.46822E-004,-1.92862E-004,-6.37856E-005,-1.02029E-004,-2.37654E-004,-3.50778E+001,3.48592E-004
776,1479,4.21715E-001,5.15560E-001,5.37452E-003,-7.17440E-005,1.53113E-004,3.45612E-003,-6.97707E-005,-2.09263E-004,-7.40497E-005,-3.77924E-005,-2.41242E-004,-2.33571E+001,3.02749E-004
706,1479,-1.59877E-001,5.16350E-001,-5.86206E-003,-8.85176E-005,7.83938E-005,2.56660E-003,-3.07880E-005,-7.36067E-005,-1.04663E-005,-2.83666E-005,-7.60281E-005,-1.30262E+001,1.07960E-004
716,1479,-7.67794E-002,5.16363E-001,-3.03551E-003,-1.14562E-004,7.99749E-005,3.22557E-003,1.79449E-004,-1.31077E-004,9.21446E-006,1.79723E-004,-1.31350E-004,1.69818E+000,1.85998E-004
786,1479,5.04533E-001,5.15873E-001,3.45673E-003,-1.35230E-004,1.90559E-004,3.19777E-003,5.37817E-006,-3.30068E-004,-6.54691E-005,1.77030E-005,-3.42393E-004,-1.06614E+001,3.85547E-004
796,1479,5.87466E-001,5.15270E-001,1.29850E-003,-9.30797E-005,-3.19097E-005,2.55354E-003,-4.71725E-004,-4.56039E-004,9.26110E-005,-3.70939E-004,-5.56824E-004,4.74204E+001,9.33950E-004
726,1479,6.30171E-003,5.16107E-001,-2.10112E-003,-9.16702E-005,5.53133E-005,3.00810E-003,3.03153E-004,-1.39076E-004,7.69074E-005,3.16146E-004,-1.52069E-004,9.58928E+000,3.16222E-004
656,1489,-5.74154E-001,5.99809E-001,3.62174E-003,-2.83380E-005,7.06755E-005,3.17850E-003,-1.90739E-004,-7.33607E-005,-2.43064E-004,1.17999E-004,-3.82099E-004,-5.17873E+001,3.91299E-004
666,1489,-4.91260E-001,5.99738E-001,3.75021E-003,-7.88573E-005,4.96653E-005,3.85645E-003,-1.80744E-004,1.16815E-005,-8.89825E-005,4.65214E-005,-2.15583E-004,-6.86179E+001,2.26896E-004
676,1489,-4.08302E-001,5.99191E-001,2.59554E-003,-1.15123E-004,-4.09650E-006,2.46369E-003,-2.48705E-004,-2.01302E-005,4.05467E-005,-1.31507E-005,-2.55684E-004,8.02332E+001,3.03117E-004
686,1489,-3.25290E-001,5.99308E-001,2.35556E-003,-9.03363E-005,3.89793E-005,2.13399E-003,-1.32499E-004,-2.57025E-005,7.50527E-005,1.30094E-005,-1.71211E-004,6.27155E+001,1.90631E-004
696,1489,-2.42180E-001,5.98879E-001,3.71365E-003,-7.02204E-005,1.18880E-005,1.80990E-003,-1.06405E-004,-6.32198E-005,7.34668E-005,-8.23833E-006,-1.61387E-004,5.31893E+001,1.91287E-004
706,1489,-1.59508E-001,5.98542E-001,-1.47818E-003,-3.24968E-005,-6.38771E-006,2.00362E-003,7.49178E-005,-1.74727E-004,3.44805E-006,7.49654E-005,-1.74775E-004,7.91157E-001,1.75362E-004
646,1489,-6.56932E-001,5.99467E-001,5.73358E-003,-1.39747E-005,8.01253E-005,2.36397E-003,-2.49557E-004,-6.39283E-005,-1.46877E-004,1.70027E-005,-3.30488E-004,-6.11447E+001,3.72186E-004
716,1489,-7.65669E-002,5.98799E-001,-1.23054E-003,-7.25677E-005,-2.05689E-006,2.29456E-003,2.33418E-004,-2.81837E-004,3.59951E-005,2.35921E-004,-2.84340E-004,3.97687E+000,3.04250E-004
726,1489,6.61786E-003,5.98998E-001,2.36949E-004,4.00481E-005,-2.18102E-005,2.42158E-003,2.31388E-004,-2.29304E-004,7.84252E-005,2.44373E-004,-2.42288E-004,9.40100E+000,2.80982E-004
736,1489,8.94049E-002,5.98534E-001,-1.71401E-003,1.04908E-005,6.15266E-005,3.03610E-003,4.91496E-005,-9.44029E-005,1.60853E-004,1.53514E-004,-1.98767E-004,3.29762E+001,2.08363E-004
786,1489,5.04413E-001,5.98350E-001,2.91456E-004,-5.37214E-005,-9.17143E-005,2.99147E-003,1.86502E-004,-8.81953E-005,1.24595E-005,1.87066E-004,-8.87592E-005,2.59169E+000,1.87147E-004
