x [mm];y [mm];z [mm];X-displacement [mm];Y-displacement [mm];Z-displacement [mm];Displacement [mm];Exx [S];Eyy [S];Exy [S];Poisson's ratio -strain min/max;Poisson's ratio -Exx/Eyy;Poisson's ratio -Eyy/Exx;Poisson's ratio -strain max/min;Maximum principal strain [S];Minimum principal strain [S];Maximum shear strain [S];Maximum shear angle [°];Maximum strain angle [°];Tresca strain [S];Von Mises strain [S];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity-z [S];Height [mm];du/dx+dv/dy [S];Div-xy [S];Stereo reconstruction error [pixel]
-0.303971;3.625975;0.536004;-0.771192;0.079523;-0.050573;0.776929;-0.003157;0.005207;0.011182;0.841835;0.606238;1.649517;1.187881;0.012964;-0.010914;0.011939;142.858749;97.858749;0.015919;0.013803;-0.003157;0.023423;-0.001058;0.005207;-0.02448;0.485431;0.00205;-0.00205;0.050815
-0.236806;3.625975;0.623868;-0.771085;0.079371;-0.051022;0.776837;-0.002684;0.003872;0.005531;0.830785;0.693074;1.442847;1.20368;0.007024;-0.005835;0.006429;147.77269;102.77269;0.008573;0.007435;-0.002684;0.012178;-0.001116;0.003872;-0.013295;0.572846;0.001189;-0.001189;0.070593
-0.169641;3.625975;0.685006;-0.771179;0.079395;-0.052753;0.777048;0.00213;5.415988e-04;-0.008684;0.734339;-3.932483;-0.254292;1.361769;0.010056;-0.007384;0.00872;142.831833;97.831833;0.011627;0.010108;0.00213;-0.015934;-0.001434;5.415988e-04;0.0145;0.632253;0.002671;-0.002671;0.103162
-0.102475;3.625975;0.755452;-0.771283;0.079333;-0.051777;0.777079;0.007204;-0.002722;-0.011155;0.689838;2.646663;0.377834;1.449616;0.014451;-0.009969;0.01221;154.652435;109.652435;0.01628;0.014177;0.007204;-0.019335;-0.002976;-0.002722;0.01636;0.703674;0.004482;-0.004482;0.083263
-0.03531;3.625975;0.794271;-0.771342;0.078965;-0.049977;0.776983;0.00101;-0.001602;-0.00613;1.099028;0.630772;1.585359;0.909895;0.005972;-0.006563;0.006268;138.917847;93.917847;0.008357;0.00724;0.00101;-0.010165;-0.002095;-0.001602;0.00807;0.744293;-5.913978e-04;5.913978e-04;0.065043
0.031855;3.625975;0.821382;-0.771233;0.078843;-0.051469;0.77696;-0.003524;-5.546098e-05;-0.009301;1.466665;-63.548073;-0.015736;0.681819;0.007671;-0.011251;0.009461;124.141388;79.141388;0.012615;0.01099;-0.003524;-0.018379;-2.223854e-04;-5.546098e-05;0.018157;0.769913;-0.00358;0.00358;0.056821
0.099021;3.625975;0.866677;-0.771261;0.07879;-0.052255;0.777034;-0.010426;0.003906;-0.017485;1.41692;2.668931;0.374682;0.705756;0.015637;-0.022157;0.018897;118.926819;73.926819;0.025196;0.021928;-0.010426;-0.036238;0.001267;0.003906;0.037506;0.814422;-0.006519;0.006519;0.069085
0.166186;3.625975;0.897819;-0.771379;0.078754;-0.05628;0.777428;-0.007664;0.031654;-0.006852;0.268892;0.242101;4.1305;3.71897;0.032814;-0.008824;0.020819;120.133034;75.133034;0.027759;0.025335;-0.007664;-0.020627;0.006923;0.031654;0.02755;0.841538;0.023991;-0.023991;0.104936
0.233352;3.625975;0.882743;-0.771347;0.078487;-0.058464;0.777531;0.006263;0.054264;0.016506;-0.019117;-0.115422;-8.663887;-52.309006;0.059392;0.001135;0.029128;131.660599;86.660606;0.038838;0.039222;0.006263;0.032488;5.234853e-04;0.054264;-0.031964;0.824279;0.060527;-0.060527;0.084128
0.367682;3.625975;0.837387;-0.770826;0.078574;-0.050482;0.776463;0.004558;-0.0417;0.01214;5.919161;0.109311;9.148248;0.168943;0.00755;-0.044692;0.026121;125.812347;80.812347;0.034829;0.032605;0.004558;0.031416;-0.007137;-0.0417;-0.038553;0.786904;-0.037142;0.037142;0.072213
