Coordinates.Image X [Pixel],Coordinates.Image Y [Pixel],coor.X [mm],coor.Y [mm],coor.Z [mm],disp.Horizontal Displacement U [mm],disp.Vertical Displacement V [mm],disp.Out-Of-Plane: W [mm],disp.Displacement Magnitude [mm],strain.Strain-global frame: Exx [ ],strain.Strain-global frame: Eyy [ ],strain.Strain-global frame: Exy [ ],strain.Maximum Principal Strain: EI [ ],strain.Minimum Principal Strain: EII [ ],strain.Shear Angle Gamma [deg],strain.Von Mises Equivalent Strain [ ],ext.Current Image [#],ext.Time [s],ext.Force [N]
1121,1055,-7.60479E-001,-3.74050E+000,5.85266E-003,1.27326E-002,-1.14216E-002,4.91103E-003,1.77958E-002,-2.90323E-004,-9.65903E-006,-4.61829E-005,-2.25502E-006,-2.97727E-004,-8.08919E+001,3.45094E-004,7,6.99997E+000,3.20280E-001
1196,1280,6.95532E-001,4.94021E-001,4.66026E-003,1.18808E-002,-1.12855E-002,5.17734E-003,1.71849E-002,-7.32483E-005,-1.44966E-005,7.93970E-005,4.07846E-005,-1.28530E-004,5.51519E+001,1.31358E-004,7,6.99997E+000,3.20280E-001
1151,965,-2.11337E-001,-5.43265E+000,9.98410E-003,1.24434E-002,-1.08068E-002,9.87687E-003,1.92140E-002,-9.89941E-006,1.26204E-005,-5.22856E-005,5.48448E-005,-5.21238E-005,-5.10766E+001,6.18182E-005,7,6.99997E+000,3.20280E-001
1196,935,6.33009E-001,-5.99727E+000,7.04622E-003,1.30557E-002,-1.11441E-002,5.07006E-003,1.78983E-002,2.25687E-004,1.03949E-005,-8.16295E-005,2.53137E-004,-1.70555E-005,-1.85868E+001,2.82965E-004,7,6.99997E+000,3.20280E-001
1136,860,-5.12435E-001,-7.40596E+000,6.07840E-003,1.33612E-002,-1.10954E-002,5.36650E-003,1.81777E-002,-4.33205E-005,5.91497E-005,-9.19143E-006,5.99676E-005,-4.41384E-005,-8.49147E+001,6.21550E-005,7,6.99997E+000,3.20280E-001
1211,1280,9.79555E-001,4.94172E-001,7.14530E-003,1.23477E-002,-1.14028E-002,5.62765E-003,1.77245E-002,-2.56328E-005,-3.27370E-005,8.91977E-005,6.00835E-005,-1.18453E-004,4.38598E+001,1.18457E-004,7,6.99997E+000,3.20280E-001
1106,845,-1.08269E+000,-7.68782E+000,-2.83287E-003,1.22833E-002,-1.14413E-002,3.38692E-003,1.71246E-002,-1.17274E-004,4.33317E-005,6.71471E-006,4.36120E-005,-1.17554E-004,8.76101E+001,1.18851E-004,7,6.99997E+000,3.20280E-001
1181,860,3.35743E-001,-7.40732E+000,-2.86520E-003,1.33203E-002,-1.15582E-002,8.55914E-004,1.76566E-002,5.61843E-005,4.67060E-005,-3.72164E-005,8.89621E-005,1.39282E-005,-4.13715E+001,1.11638E-004,7,6.99997E+000,3.20280E-001
1181,785,3.22974E-001,-8.81719E+000,-1.37637E-004,1.38364E-002,-1.20048E-002,-1.02930E-003,1.83472E-002,-5.94820E-006,2.43074E-005,-2.51061E-005,3.84911E-005,-2.01319E-005,-6.05356E+001,3.85047E-005,7,6.99997E+000,3.20280E-001
1166,1445,1.61188E-001,3.60184E+000,1.60420E-003,1.35229E-002,-1.18336E-002,1.29840E-003,1.80163E-002,5.71152E-005,1.67763E-005,-1.15644E-005,6.01954E-005,1.36962E-005,-1.49142E+001,7.86174E-005,7,6.99997E+000,3.20280E-001
1211,1025,9.32544E-001,-4.30514E+000,5.16564E-003,1.29321E-002,-1.12191E-002,4.42633E-003,1.76833E-002,4.30287E-004,2.28279E-005,-8.14665E-005,4.45971E-004,7.14340E-006,-1.08976E+001,5.19137E-004,7,6.99997E+000,3.20280E-001
1151,1130,-1.80284E-001,-2.32982E+000,2.50646E-003,1.33227E-002,-1.11516E-002,2.85460E-003,1.76068E-002,-1.11775E-004,-1.08239E-005,-5.70122E-006,-1.05029E-005,-1.12096E-004,-8.67779E+001,1.35907E-004,7,6.99997E+000,3.20280E-001
1091,1490,-1.24880E+000,4.44783E+000,3.95275E-003,1.21166E-002,-1.13660E-002,6.85565E-003,1.79721E-002,-3.75971E-005,3.02372E-006,9.61426E-006,5.18433E-006,-3.97577E-005,7.73344E+001,4.32271E-005,7,6.99997E+000,3.20280E-001
1211,935,9.15767E-001,-5.99826E+000,-1.00206E-003,1.30028E-002,-1.17321E-002,-8.34421E-004,1.75332E-002,3.11371E-004,3.42354E-006,-8.80219E-005,3.34755E-004,-1.99604E-005,-1.48776E+001,3.75549E-004,7,6.99997E+000,3.20280E-001
1121,845,-7.98789E-001,-7.68860E+000,-2.15076E-003,1.31374E-002,-1.21019E-002,1.99886E-003,1.79734E-002,-8.15496E-005,5.59036E-005,-4.10185E-006,5.60259E-005,-8.16719E-005,-8.82922E+001,8.35341E-005,7,6.99997E+000,3.20280E-001
1196,785,6.04446E-001,-8.81617E+000,7.72089E-003,1.24664E-002,-1.10018E-002,7.57017E-003,1.82691E-002,2.42018E-005,1.76282E-005,-2.67504E-005,4.78665E-005,-6.03655E-006,-4.14976E+001,5.21369E-005,7,6.99997E+000,3.20280E-001
1151,1295,-1.50442E-001,7.76352E-001,5.91338E-003,1.28974E-002,-1.09487E-002,6.39353E-003,1.80858E-002,-1.97191E-004,1.82023E-005,1.10231E-005,1.87649E-005,-1.97754E-004,8.70780E+001,2.18320E-004,7,6.99997E+000,3.20280E-001
1121,1505,-6.77871E-001,4.73109E+000,1.30405E-003,1.33183E-002,-1.19039E-002,5.34167E-005,1.78629E-002,-1.55103E-005,1.50609E-005,1.11842E-006,1.51018E-005,-1.55512E-005,8.79076E+001,1.77032E-005,7,6.99997E+000,3.20280E-001
1151,1445,-1.22697E-001,3.60125E+000,1.30388E-004,1.32485E-002,-1.17998E-002,2.15225E-003,1.78715E-002,2.74161E-005,9.40244E-006,-2.34743E-005,4.35522E-005,-6.73361E-006,-3.45043E+001,4.68881E-005,7,6.99997E+000,3.20280E-001
1211,1235,9.72048E-001,-3.53093E-001,4.41525E-003,1.32260E-002,-1.15315E-002,2.89198E-003,1.77839E-002,4.92504E-005,-1.46991E-005,1.21781E-004,1.43185E-004,-1.08633E-004,3.76443E+001,1.49436E-004,7,6.99997E+000,3.20280E-001
1166,740,3.19148E-002,-9.66145E+000,2.10076E-003,1.38679E-002,-1.18917E-002,8.18655E-004,1.82867E-002,-4.60883E-005,4.26551E-006,-2.12831E-005,1.20559E-005,-5.38787E-005,-6.98954E+001,5.65532E-005,7,6.99997E+000,3.20280E-001
1151,1145,-1.77358E-001,-2.04713E+000,4.51135E-003,1.32704E-002,-1.13679E-002,2.99451E-003,1.77285E-002,-1.35377E-004,-1.95796E-005,2.20000E-005,-1.55407E-005,-1.39416E-004,7.95973E+001,1.70665E-004,7,6.99997E+000,3.20280E-001
1211,785,8.88438E-001,-8.81793E+000,-1.86585E-003,1.34647E-002,-1.21899E-002,-2.37720E-003,1.83178E-002,5.42939E-005,8.74032E-006,-2.70292E-005,6.68634E-005,-3.82915E-006,-2.49400E+001,7.50941E-005,7,6.99997E+000,3.20280E-001
1226,935,1.19951E+000,-5.99905E+000,-4.17622E-003,1.35807E-002,-1.23485E-002,-4.54642E-003,1.89101E-002,3.97006E-004,-4.47349E-006,-9.15975E-005,4.16916E-004,-2.43840E-005,-1.22636E+001,4.67971E-004,7,6.99997E+000,3.20280E-001
1151,1400,-1.30935E-001,2.75439E+000,7.96279E-003,1.28357E-002,-1.11426E-002,6.16168E-003,1.80797E-002,-6.62442E-006,3.41816E-006,-6.44639E-005,6.30560E-005,-6.62623E-005,-4.72270E+001,7.47308E-005,7,6.99997E+000,3.20280E-001
1226,1280,1.26442E+000,4.94309E-001,2.74346E-003,1.38061E-002,-1.15697E-002,7.20605E-004,1.80274E-002,2.16972E-005,-5.42416E-005,9.32972E-005,8.44554E-005,-1.17000E-004,3.39275E+001,1.20777E-004,7,6.99997E+000,3.20280E-001
1136,845,-5.15107E-001,-7.68805E+000,-2.01046E-003,1.38293E-002,-1.12561E-002,7.96649E-004,1.78489E-002,-4.59956E-005,6.32469E-005,-1.40142E-005,6.50161E-005,-4.77648E-005,-8.28050E+001,6.73606E-005,7,6.99997E+000,3.20280E-001
1136,1505,-3.95741E-001,4.73232E+000,8.95104E-003,1.22448E-002,-1.11589E-002,8.67498E-003,1.87006E-002,6.88197E-006,1.89330E-005,9.86571E-006,2.44677E-005,1.34725E-006,6.07073E+001,2.90619E-005,7,6.99997E+000,3.20280E-001
1091,1025,-1.32998E+000,-4.30430E+000,1.19742E-002,1.39384E-002,-1.15386E-002,5.98461E-003,1.90587E-002,-4.81432E-004,2.62363E-005,1.35306E-005,2.65966E-005,-4.81793E-004,8.84744E+001,5.41624E-004,7,6.99997E+000,3.20280E-001
1121,1520,-6.75759E-001,5.01446E+000,1.13687E-004,1.30523E-002,-1.14172E-002,2.03722E-003,1.74604E-002,-2.00563E-005,1.17378E-005,1.65142E-007,1.17387E-005,-2.00572E-005,8.97024E+001,2.01542E-005,7,6.99997E+000,3.20280E-001
1136,1475,-4.00148E-001,4.16691E+000,3.06910E-003,1.34200E-002,-1.13609E-002,3.54627E-003,1.79371E-002,9.16126E-007,2.20159E-005,2.32122E-006,2.22682E-005,6.63782E-007,8.37956E+001,2.61048E-005,7,6.99997E+000,3.20280E-001
1121,935,-7.82080E-001,-5.99637E+000,9.42526E-003,1.27722E-002,-1.11366E-002,7.12018E-003,1.83807E-002,-2.05492E-004,3.14646E-005,-7.14853E-006,3.16800E-005,-2.05707E-004,-8.82736E+001,2.21517E-004,7,6.99997E+000,3.20280E-001
1181,905,3.45362E-001,-6.56146E+000,8.77055E-004,1.38752E-002,-1.17058E-002,-1.93306E-003,1.82560E-002,9.04556E-005,1.37604E-005,-4.92390E-005,1.14518E-004,-1.03021E-005,-2.60442E+001,1.26706E-004,7,6.99997E+000,3.20280E-001
1106,1490,-9.64682E-001,4.44858E+000,-7.62817E-004,1.29086E-002,-1.12424E-002,1.40935E-003,1.71758E-002,-3.20967E-005,1.14347E-005,-2.36932E-006,1.15633E-005,-3.22253E-005,-8.68937E+001,3.26506E-005,7,6.99997E+000,3.20280E-001
1091,845,-1.36419E+000,-7.68803E+000,-2.96560E-003,1.33379E-002,-1.17643E-002,1.41494E-003,1.78409E-002,-1.08446E-004,2.61396E-005,1.91219E-005,2.88037E-005,-1.11110E-004,8.20685E+001,1.15324E-004,7,6.99997E+000,3.20280E-001
1121,980,-7.74000E-001,-5.15134E+000,-2.03929E-003,1.31762E-002,-1.17471E-002,-8.39196E-005,1.76526E-002,-1.60922E-004,2.08861E-005,-3.27135E-005,2.65932E-005,-1.66629E-004,-8.01039E+001,1.79039E-004,7,6.99997E+000,3.20280E-001
1166,1400,1.52720E-001,2.75417E+000,3.02429E-003,1.31309E-002,-1.16985E-002,7.53292E-004,1.76024E-002,3.13018E-005,7.53284E-007,-4.39959E-005,6.25995E-005,-3.05444E-005,-3.54272E+001,6.26055E-005,7,6.99997E+000,3.20280E-001
1151,1475,-1.17346E-001,4.16717E+000,3.96819E-003,1.29322E-002,-1.15305E-002,4.75152E-003,1.79658E-002,2.47654E-005,2.75172E-005,6.16015E-006,3.24532E-005,1.98294E-005,5.12952E+001,5.27882E-005,7,6.99997E+000,3.20280E-001
1166,1295,1.34158E-001,7.74902E-001,-8.78761E-003,1.43390E-002,-1.25133E-002,-7.71851E-003,2.05369E-002,-1.65203E-004,1.11625E-005,3.14427E-005,1.66005E-005,-1.70641E-004,8.01878E+001,1.88189E-004,7,6.99997E+000,3.20280E-001
1151,1160,-1.75068E-001,-1.76528E+000,1.81580E-003,1.29056E-002,-1.16592E-002,1.11103E-003,1.74277E-002,-1.75429E-004,-1.22480E-005,4.64338E-005,3.96371E-008,-1.87717E-004,7.51778E+001,2.16734E-004,7,6.99997E+000,3.20280E-001
1151,800,-2.39351E-001,-8.53540E+000,-5.38107E-003,1.48099E-002,-1.23570E-002,-3.80575E-003,1.96599E-002,-6.01473E-005,3.33416E-005,-2.04481E-005,3.76184E-005,-6.44241E-005,-7.81867E+001,6.47259E-005,7,6.99997E+000,3.20280E-001
1106,1205,-1.01674E+000,-9.19203E-001,1.40114E-003,1.24316E-002,-1.15527E-002,1.92873E-003,1.70801E-002,-4.99548E-004,-1.05020E-005,4.10652E-005,-7.07773E-006,-5.02973E-004,8.52334E+001,5.84912E-004,7,6.99997E+000,3.20280E-001
1151,1385,-1.33737E-001,2.47080E+000,2.31091E-003,1.30399E-002,-1.16760E-002,2.58525E-003,1.76933E-002,-3.15135E-005,1.90454E-005,-6.66996E-005,6.50954E-005,-7.75635E-005,-5.53785E+001,8.33025E-005,7,6.99997E+000,3.20280E-001
1136,1100,-4.69060E-001,-2.89409E+000,6.07365E-003,1.28735E-002,-1.12672E-002,4.48174E-003,1.76851E-002,-1.66010E-004,-5.49867E-005,-3.89856E-005,-4.26645E-005,-1.78332E-004,-7.24599E+001,2.34467E-004,7,6.99997E+000,3.20280E-001
1136,1520,-3.91751E-001,5.01513E+000,2.60546E-003,1.34466E-002,-1.14867E-002,2.05219E-003,1.78036E-002,-6.14011E-007,1.38637E-005,1.01006E-005,1.90515E-005,-5.80186E-006,6.28141E+001,1.95307E-005,7,6.99997E+000,3.20280E-001
1196,905,6.26748E-001,-6.56117E+000,7.90611E-003,1.25400E-002,-1.11531E-002,7.56599E-003,1.84089E-002,1.40025E-004,1.21172E-005,-4.70470E-005,1.55466E-004,-3.32363E-006,-1.81698E+001,1.77629E-004,7,6.99997E+000,3.20280E-001
1121,1070,-7.57536E-001,-3.45844E+000,7.36059E-004,1.30810E-002,-1.14675E-002,9.40600E-004,1.74212E-002,-2.88360E-004,-2.33362E-005,-4.80005E-005,-1.49103E-005,-2.96785E-004,-8.00439E+001,3.51623E-004,7,6.99997E+000,3.20280E-001
1091,1040,-1.32629E+000,-4.02195E+000,1.77596E-002,1.41628E-002,-1.14723E-002,5.10917E-003,1.89289E-002,-4.89586E-004,3.27384E-005,-3.65498E-005,3.52835E-005,-4.92131E-004,-8.60166E+001,5.49028E-004,7,6.99997E+000,3.20280E-001
1211,1340,9.90648E-001,1.62466E+000,7.88357E-003,1.22052E-002,-1.15243E-002,6.08200E-003,1.78541E-002,-1.92650E-004,-1.37598E-005,1.38206E-005,-1.26984E-005,-1.93712E-004,8.56082E+001,2.31359E-004,7,6.99997E+000,3.20280E-001
1136,935,-4.99740E-001,-5.99752E+000,2.87172E-003,1.26081E-002,-1.20380E-002,4.01192E-003,1.78878E-002,-1.19061E-004,2.90948E-005,-2.76962E-005,3.41030E-005,-1.24070E-004,-7.97502E+001,1.28193E-004,7,6.99997E+000,3.20280E-001
1151,1265,-1.55516E-001,2.11410E-001,3.70285E-003,1.33535E-002,-1.12989E-002,4.40549E-003,1.80385E-002,-2.17124E-004,1.49738E-005,3.02724E-005,1.88572E-005,-2.21007E-004,8.26898E+001,2.45037E-004,7,6.99997E+000,3.20280E-001
1181,1115,3.82869E-001,-2.61208E+000,4.78395E-003,1.29951E-002,-1.12207E-002,5.13211E-003,1.79197E-002,8.74274E-005,1.60573E-005,-3.41553E-005,1.01139E-004,2.34594E-006,-2.18726E+001,1.18163E-004,7,6.99997E+000,3.20280E-001
1091,1505,-1.24479E+000,4.73065E+000,5.05825E-003,1.30666E-002,-1.16251E-002,5.00610E-003,1.81917E-002,-4.76172E-005,3.58652E-006,-8.62543E-006,5.00045E-006,-4.90311E-005,-8.06905E+001,5.39614E-005,7,6.99997E+000,3.20280E-001
1106,1415,-9.78093E-001,3.03570E+000,2.23530E-003,1.31419E-002,-1.13811E-002,4.53692E-003,1.79672E-002,-1.39173E-004,-3.09538E-006,-8.42061E-005,3.71246E-005,-1.79393E-004,-6.44691E+001,1.89385E-004,7,6.99997E+000,3.20280E-001
1151,1535,-1.06358E-001,5.29799E+000,1.43962E-003,1.27932E-002,-1.18535E-002,1.51074E-003,1.75058E-002,-1.27292E-006,1.24404E-005,1.71754E-005,2.40773E-005,-1.29098E-005,5.58813E+001,2.40983E-005,7,6.99997E+000,3.20280E-001
1181,1295,4.16253E-001,7.76324E-001,3.62472E-003,1.30946E-002,-1.13047E-002,4.02452E-003,1.77612E-002,-1.33374E-004,2.79634E-006,4.49991E-005,1.63231E-005,-1.46901E-004,7.32692E+001,1.61032E-004,7,6.99997E+000,3.20280E-001
1136,980,-4.91691E-001,-5.15191E+000,-3.12291E-004,1.26832E-002,-1.18548E-002,2.74323E-003,1.75762E-002,-7.05102E-005,1.36753E-005,-4.57733E-005,3.37677E-005,-9.06026E-005,-6.63007E+001,9.15762E-005,7,6.99997E+000,3.20280E-001
1166,1430,1.58152E-001,3.31899E+000,-6.02053E-004,1.33981E-002,-1.18431E-002,2.85401E-004,1.78843E-002,4.31926E-005,1.84824E-005,-1.80248E-005,5.26902E-005,8.98469E-006,-2.77857E+001,6.66372E-005,7,6.99997E+000,3.20280E-001
1166,800,4.13754E-002,-8.53476E+000,8.91146E-003,1.25075E-002,-1.12170E-002,9.08302E-003,1.90987E-002,-3.15591E-005,3.02994E-005,-2.50210E-005,3.91529E-005,-4.04126E-005,-7.05140E+001,4.59544E-005,7,6.99997E+000,3.20280E-001
1136,1235,-4.43750E-001,-3.54179E-001,-3.19044E-003,1.36305E-002,-1.19635E-002,-3.78454E-003,1.85267E-002,-3.14862E-004,5.19265E-006,3.29846E-005,8.55666E-006,-3.18226E-004,8.41767E+001,3.62617E-004,7,6.99997E+000,3.20280E-001
1121,1490,-6.80495E-001,4.44880E+000,6.43924E-004,1.35905E-002,-1.16259E-002,7.90804E-004,1.79022E-002,-1.28565E-005,1.76348E-005,-1.41496E-006,1.77003E-005,-1.29220E-005,-8.73487E+001,1.83141E-005,7,6.99997E+000,3.20280E-001
1121,1085,-7.54548E-001,-3.17711E+000,-2.32622E-003,1.34700E-002,-1.19601E-002,-1.05500E-003,1.80444E-002,-2.62367E-004,-3.58203E-005,-4.97163E-005,-2.53901E-005,-2.72797E-004,-7.81515E+001,3.30634E-004,7,6.99997E+000,3.20280E-001
1166,1385,1.49826E-001,2.47168E+000,6.78730E-003,1.31244E-002,-1.13943E-002,5.50874E-003,1.82326E-002,-1.87836E-007,1.37932E-005,-4.77276E-005,5.50395E-005,-4.14341E-005,-4.91663E+001,5.73367E-005,7,6.99997E+000,3.20280E-001
1181,1400,4.35671E-001,2.75332E+000,-6.77116E-003,1.31939E-002,-1.23810E-002,-5.26456E-003,1.88437E-002,6.91235E-005,-2.25924E-006,-2.28427E-005,7.58074E-005,-8.94315E-006,-1.63098E+001,8.28556E-005,7,6.99997E+000,3.20280E-001
1106,1355,-9.89220E-001,1.90558E+000,8.67882E-003,1.24888E-002,-1.09966E-002,7.19061E-003,1.81274E-002,-2.43832E-004,3.46279E-005,-8.26144E-005,5.72933E-005,-2.66498E-004,-7.46583E+001,2.80559E-004,7,6.99997E+000,3.20280E-001
1151,1175,-1.71945E-001,-1.48345E+000,5.75359E-004,1.32814E-002,-1.19440E-002,-1.25342E-004,1.78626E-002,-1.89273E-004,-3.23119E-006,6.60116E-005,1.78111E-005,-2.10315E-004,7.23194E+001,2.33249E-004,7,6.99997E+000,3.20280E-001
1166,1475,1.66245E-001,4.16752E+000,3.66360E-003,1.31111E-002,-1.16602E-002,3.98779E-003,1.79934E-002,4.85964E-005,3.29957E-005,1.04063E-005,5.38013E-005,2.77909E-005,2.65727E+001,8.29626E-005,7,6.99997E+000,3.20280E-001
1211,1040,9.35699E-001,-4.02295E+000,7.55250E-003,1.30731E-002,-1.12721E-002,4.93680E-003,1.79537E-002,3.65918E-004,3.83086E-005,-6.39504E-005,3.77959E-004,2.62678E-005,-1.06630E+001,4.52358E-004,7,6.99997E+000,3.20280E-001
1166,920,6.37895E-002,-6.27996E+000,2.76291E-003,1.28925E-002,-1.19040E-002,3.02338E-003,1.78062E-002,6.47750E-005,1.65028E-005,-5.46462E-005,1.00378E-004,-1.91001E-005,-3.30850E+001,1.06604E-004,7,6.99997E+000,3.20280E-001
1166,1265,1.28526E-001,2.11604E-001,5.11923E-003,1.37852E-002,-1.14051E-002,2.37606E-003,1.80487E-002,-1.55058E-004,5.42982E-006,5.63814E-005,2.32570E-005,-1.72886E-004,7.24536E+001,1.87650E-004,7,6.99997E+000,3.20280E-001
1181,725,3.09763E-001,-9.94314E+000,3.54209E-003,1.20872E-002,-1.13997E-002,6.23099E-003,1.77448E-002,-3.75664E-005,-1.47625E-005,-2.50217E-005,1.33265E-006,-5.36616E-005,-5.72489E+001,6.12081E-005,7,6.99997E+000,3.20280E-001
1211,755,8.83133E-001,-9.38179E+000,-2.81257E-003,1.39765E-002,-1.19058E-002,-1.30849E-003,1.84066E-002,2.76718E-005,6.75707E-006,-2.16986E-005,4.13014E-005,-6.87257E-006,-3.21344E+001,4.42597E-005,7,6.99997E+000,3.20280E-001
1211,1190,9.63911E-001,-1.20040E+000,1.70434E-003,1.35762E-002,-1.15892E-002,1.02117E-003,1.78792E-002,1.71262E-004,1.77764E-005,7.12720E-005,1.99253E-004,-1.02145E-005,2.14416E+001,2.24413E-004,7,6.99997E+000,3.20280E-001
1151,935,-2.15939E-001,-5.99762E+000,-6.18869E-005,1.34401E-002,-1.17541E-002,7.54709E-004,1.78707E-002,-3.26555E-005,2.58008E-005,-4.54339E-005,5.05960E-005,-5.74507E-005,-6.13768E+001,6.27563E-005,7,6.99997E+000,3.20280E-001
1211,1520,1.02510E+000,5.01650E+000,-3.04235E-003,1.34254E-002,-1.15872E-002,-1.65018E-003,1.78109E-002,9.63432E-005,7.56745E-006,3.98420E-005,1.11602E-004,-7.69089E-006,2.09554E+001,1.24663E-004,7,6.99997E+000,3.20280E-001
1181,800,3.25031E-001,-8.53473E+000,6.61604E-003,1.31429E-002,-1.14220E-002,5.84643E-003,1.83679E-002,-3.03255E-006,2.53289E-005,-2.87020E-005,4.31622E-005,-2.08659E-005,-5.81462E+001,4.31701E-005,7,6.99997E+000,3.20280E-001
1121,1415,-6.94382E-001,3.03591E+000,3.49109E-003,1.32174E-002,-1.17661E-002,2.18113E-003,1.78297E-002,-9.59124E-005,-2.84027E-006,-6.87550E-005,3.36469E-005,-1.32400E-004,-6.20458E+001,1.37632E-004,7,6.99997E+000,3.20280E-001
1196,1055,6.55883E-001,-3.74106E+000,3.26961E-003,1.33696E-002,-1.19502E-002,-1.43480E-003,1.79892E-002,1.96027E-004,2.02747E-005,-5.53116E-005,2.11985E-004,4.31640E-006,-1.60937E+001,2.47309E-004,7,6.99997E+000,3.20280E-001
1121,770,-8.11088E-001,-9.09675E+000,3.44227E-003,1.38523E-002,-1.14612E-002,2.52716E-003,1.81558E-002,-1.21554E-004,2.74615E-005,-6.42410E-006,2.77380E-005,-1.21831E-004,-8.75361E+001,1.27712E-004,7,6.99997E+000,3.20280E-001
1226,1025,1.21698E+000,-4.30572E+000,-1.99988E-003,1.42427E-002,-1.19439E-002,-2.35563E-003,1.87366E-002,5.43971E-004,3.64738E-005,-6.84263E-005,5.53035E-004,2.74097E-005,-7.54576E+000,6.54989E-004,7,6.99997E+000,3.20280E-001
1151,980,-2.07884E-001,-5.15182E+000,-2.29922E-003,1.34144E-002,-1.16141E-002,-1.83108E-004,1.77445E-002,1.98868E-005,9.18447E-006,-5.64882E-005,7.12767E-005,-4.22054E-005,-4.22942E+001,7.16790E-005,7,6.99997E+000,3.20280E-001
1181,1265,4.11642E-001,2.11620E-001,4.49884E-003,1.35307E-002,-1.14884E-002,6.35537E-004,1.77614E-002,-9.33017E-005,-6.05123E-006,7.86376E-005,4.02514E-005,-1.39604E-004,5.95100E+001,1.43714E-004,7,6.99997E+000,3.20280E-001
1196,725,5.94309E-001,-9.94391E+000,9.22735E-004,1.35323E-002,-1.14016E-002,1.65085E-003,1.77721E-002,-1.95603E-005,-2.12672E-005,-2.88749E-005,8.47372E-006,-4.93012E-005,-4.41535E+001,5.27213E-005,7,6.99997E+000,3.20280E-001
1181,1385,4.33387E-001,2.47160E+000,-4.32172E-004,1.33759E-002,-1.18296E-002,-1.55217E-003,1.79238E-002,3.11067E-005,5.44085E-006,-2.68380E-005,4.80220E-005,-1.14745E-005,-3.22223E+001,5.01564E-005,7,6.99997E+000,3.20280E-001
1181,965,3.55562E-001,-5.43305E+000,4.22356E-003,1.34473E-002,-1.09819E-002,5.13270E-003,1.81047E-002,1.72144E-004,8.48011E-006,-8.13403E-005,2.05693E-004,-2.50687E-005,-2.24137E+001,2.24444E-004,7,6.99997E+000,3.20280E-001
