Coordinates.Image X [Pixel],Coordinates.Image Y [Pixel],coor.X [mm],coor.Y [mm],coor.Z [mm],disp.Horizontal Displacement U [mm],disp.Vertical Displacement V [mm],disp.Out-Of-Plane: W [mm],disp.Displacement Magnitude [mm],strain.Strain-global frame: Exx [ ],strain.Strain-global frame: Eyy [ ],strain.Strain-global frame: Exy [ ],strain.Maximum Principal Strain: EI [ ],strain.Minimum Principal Strain: EII [ ],strain.Shear Angle Gamma [deg],strain.Von Mises Equivalent Strain [ ],ext.Current Image [#],ext.Time [s],ext.Force [N]
1196,1130,6.68633E-001,-2.32960E+000,8.54009E-003,1.24961E-002,-1.13428E-002,6.23452E-003,1.79911E-002,1.76797E-004,5.60642E-005,2.60177E-006,1.76853E-004,5.60081E-005,1.23394E+000,2.43089E-004,7,6.99997E+000,3.20280E-001
1211,1070,9.41366E-001,-3.45898E+000,1.36923E-003,1.32273E-002,-1.18266E-002,-6.29174E-004,1.77546E-002,2.88167E-004,5.67247E-005,-5.71434E-005,3.01507E-004,4.33848E-005,-1.31401E+001,3.75712E-004,7,6.99997E+000,3.20280E-001
1196,1175,6.78027E-001,-1.48382E+000,-2.11800E-003,1.37611E-002,-1.21518E-002,-2.58214E-003,1.85392E-002,1.41752E-004,2.90210E-005,7.63158E-005,1.80261E-004,-9.48797E-006,2.67755E+001,2.02892E-004,7,6.99997E+000,3.20280E-001
1121,1100,-7.52120E-001,-2.89465E+000,-2.27634E-003,1.33240E-002,-1.13901E-002,2.93273E-004,1.75314E-002,-2.51652E-004,-5.74376E-005,-4.23586E-005,-4.86011E-005,-2.60489E-004,-7.82165E+001,3.32418E-004,7,6.99997E+000,3.20280E-001
1226,1250,1.25603E+000,-6.99409E-002,3.88539E-003,1.17155E-002,-1.04024E-002,7.61266E-003,1.74188E-002,9.83819E-005,-1.11424E-005,1.46515E-004,2.00034E-004,-1.12794E-004,3.47530E+001,2.00577E-004,7,6.99997E+000,3.20280E-001
1166,1280,1.31872E-001,4.93212E-001,-2.76467E-003,1.45700E-002,-1.17620E-002,-3.82601E-003,1.91120E-002,-1.69121E-004,1.22826E-005,4.25927E-005,2.17853E-005,-1.78624E-004,7.74229E+001,1.94901E-004,7,6.99997E+000,3.20280E-001
1091,1250,-1.28560E+000,-6.96569E-002,3.24567E-002,1.47666E-002,-1.17923E-002,9.44846E-004,1.89210E-002,-5.26014E-004,4.43806E-005,-9.03357E-005,5.83456E-005,-5.39979E-004,-8.12122E+001,5.92707E-004,7,6.99997E+000,3.20280E-001
1091,950,-1.34580E+000,-5.71389E+000,1.69960E-003,1.27485E-002,-1.12338E-002,5.47673E-003,1.78527E-002,-4.08722E-004,4.70567E-005,4.31112E-005,5.10986E-005,-4.12764E-004,8.46438E+001,4.50028E-004,7,6.99997E+000,3.20280E-001
1166,905,6.17137E-002,-6.56142E+000,1.56517E-003,1.34250E-002,-1.15615E-002,5.84803E-004,1.77268E-002,4.07125E-005,1.58635E-005,-4.72098E-005,7.71054E-005,-2.05294E-005,-3.76277E+001,7.98646E-005,7,6.99997E+000,3.20280E-001
1196,1340,7.08236E-001,1.62447E+000,4.69661E-003,1.29052E-002,-1.14284E-002,7.76886E-004,1.72556E-002,-1.87098E-004,1.14512E-005,-4.19740E-006,1.15399E-005,-1.87187E-004,-8.87895E+001,2.09800E-004,7,6.99997E+000,3.20280E-001
